number,title,category,tune,words,music,song_text,notes,use_private,alignment_v,alignment_h,color,font,info_color,info_font,ending_color,ending_font,use_background,background_name,background,count,date
1,Above all,43,,Micheal W. Smith,,"Verse 1
Above all powers, above all kings 
Above all nature and all created things 
Above all wisdom, and all the ways of man
You were there before the world began

Verse 2
Above all kingdoms, above all thrones
Above all wonders the world has ever known
Above all wealth and treasures of the earth 
There's no way to measure what you're worth

Refrain
Crucified, laid behind the stone 
You lived to die, rejected and alone 
Like a rose, trampled on the ground 
You took the fall And thought of me, above all

Verse 3
Above all powers, above all kings 
Above all nature and all created things 
Above all wisdom, and all the ways of man
You were there before the world began

Verse 4
Above all kingdoms, above all thrones
Above all wonders the world has ever known
Above all wealth and treasures of the earth 
There's no way to measure what you're worth

Refrain
Crucified, laid behind the stone 
You lived to die, rejected and alone 
Like a rose, trampled on the ground 
You took the fall And thought of me, above all (x2)

Verse 4
Like a rose, trampled on the ground
You took the fall and thought of me
Above all",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,3,12:03:2013
2,Holy,0,,,,"Verse 1
 As we lift up our hands
Will you meet us here
As we call on your name
Will you meet us here
We have come to this place
to worship You
God of Mercy and Grace

Refrain
It is you, we adore
It is you, praises are for
Only you
The Heavens declare
it is you
it is you

&Refrain
 Holy, Holy is our God Almighty
Holy, Holy is His name alone
Holy, Holy is our God Almighty
Holy, Holy is His name alone

Verse 3
 It is you
We adore
It is you
only you

&Verse 4
As we lift up our hands
will you meet us here
As we call on your name
will you meet us here
we have come to this place
to worship you
God of mercy and grace

Refrain
It is you, we adore
It is you, praises are for
Only you
The Heavens declare
it is you
it is you

&Refrain
Holy, Holy is our God Almighty
Holy, Holy is His name alone
Holy, Holy is our God Almighty
Holy, Holy is His name alone

Verse 6
As we lift up our hands
As we call on your name
Will you visit this place
by you Mercy and Grace
(repeat)

&Verse 7
it is you
we adore
it is you
it is you

Refrain
Holy, Holy is our God Almighty
Holy, Holy is His name alone
Holy, Holy is our God Almighty
Holy, Holy is His name alone

&Refrain
it is you
we adore
it is you
only you",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,4,11:30:2013
3,"Come, now is the time to worship",0,,,,"Verse 1
 Come, now is the time to worship
Come, now is the time to give your heart
Come, just as you are to worship
Come, just as you are before your God
Come

Refrain
One day every tongue will confess You are God
One day every knee will bow
Still, the greatest treasure remains for those
Who gladly choose You now

Verse 2
Come, now is the time to give your heart
Come, just as you are to worship
Come, just as you are before your God
Come

Refrain
One day every tongue will confess You are God
One day every knee will bow
Still, the greatest treasure remains for those
Who gladly choose You now",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
4,You are worthy of my praise,0,,,,"Verse 1
I will worship, with all of my heart
I will praise You, with all of my strength
I will seek You, all of my days
I will follow, all of your ways

Refrain
I will give, You all my worship
I will give, You all my praise
You alone, I long to worship
You alone, are worthy of my praise

Verse 2
I will bow down, hail You as king
I will serve You, give You everything
I will lift up, my eyes to Your throne
I will trust You, trust You alone

Refrain
I will give, You all my worship
I will give, You all my praise
You alone, I long to worship
You alone, are worthy of my praise (x2)",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
5,Here i am to worship,0,,,,"Verse 1
Light of the world, You stepped down into darkness
Opened my eyes, let me see
Beauty that made this heart adore You
Hope of a life spent with you

Refrain
Here I am to worship Here I am to bow down
Here I am to say that You're my God
Altogether lovely Altogether worthy
Altogether wonderful to me

Verse 2
King of all days oh, so highly exalted
Glorious in heaven above
Humbly You came to the earth You created
All for Love's sake became poor

Refrain 2
Here I am to worship Here I am to bow down
Here I am to say that You're my God
Altogether lovely Altogether worthy
Altogether wonderful to me

Verse 3
I'll never know how much it cost
To see my sin upon that cross (4x)

Refrain 3
Here I am to worship Here I am to bow down
Here I am to say that You're my God
Altogether lovely Altogether worthy
Altogether wonderful to me (x2)",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",4294967295,"Arial,28,-1,5,50,0,0,0,0,0",4294967295,"Arial,28,-1,5,50,0,0,0,0,0",false,,,2,11:29:2013
6,Glorious day ( living he loved me ),0,,,,"Verse 1
One day when heaven was filled with His praises
One day when sin was as black as could be
Jesus came down to be born of a virgin
Dwelt among men, my example is He

Refrain
Living he Loved Me, Dying he saved me
Buried He carried my sins far away
Rising he justified and freed me forever
One day he’s coming
Oh glorious day, oh glorious day

Verse 2
One day they led Him up Calvary's mountain
One day they nailed Him to die on a tree
Suffering anguish, despised and rejected
Bearing our sins, my Redeemer is He
Hands that healed nations, stretched out on a tree
And took the nails for me

Refrain
Living he Loved Me, Dying he saved me
Buried He carried my sins far away
Rising he justified and freed me forever
One day he’s coming
Oh glorious day, oh glorious day

Verse 3
One day the grave could conceal Him no longer
One day the stone rolled away from the door
Then He arose, over death He had conquered
Now He's ascended, my Lord evermore
Death could not hold Him, the grave could not keep Him
From rising again

Refrain
Living he Loved Me, Dying he saved me
Buried He carried my sins far away
Rising he justified and freed me forever
One day he’s coming
Oh glorious day, oh glorious day

Verse 4
One day the trumpet will sound for His coming
One day the skies with His glories will shine
Wonderful day, my Beloved One, bringing
My Savior, Jesus, is mine

Refrain
Living he Loved Me, Dying he saved me
Buried He carried my sins far away
Rising he justified and freed me forever
One day he’s coming
Oh glorious day, oh glorious day",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,4,11:29:2013
7,How great is our God,0,,Chris Tomlin,Chris Tomlin,"Verse 1
 The splendor of a King, clothed in majesty
Let all the earth rejoice All the earth rejoice 
He wraps himself in Light, and darkness tries to hide
And trembles at His voice Trembles at His voice

Refrain
 How great is our God, sing with me
How great is our God, and all will see
How great, how great is our God

Verse 2
 Age to age He stands And time is in His hands
Beginning and the end Beginning and the end 
The Godhead Three in One Father Spirit Son
The Lion and the Lamb The Lion and the Lamb

Refrain
 How great is our God, sing with me
How great is our God, and all will see
How great, how great is our God

Verse 3
Name above all names Worthy of our praise
My heart will sing How great is our God

Refrain
 How great is our God, sing with me
How great is our God, and all will see
How great, how great is our God",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
8,This is the day,0,,,,"Verse 1
 This is the day, (2X)
That the Lord has made.(2X)
We will rejoice, (2X)
And be glad in it. (2X)

Refrain
For this the day,
That the Lord has made.
We will rejoice and be glad in it,
This is the day, this is the day,
That the Lord has made.

Verse 1
 This is the day, (2X)
That the Lord has made.(2X)
We will rejoice, (2X)
And be glad in it. (2X)

Refrain
For this the day,
That the Lord has made.
We will rejoice and be glad in it,
This is the day, this is the day,
That the Lord has made.",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
9,Amazing love,0,,,,"Verse 1
I’m forgiven because you were forsaken
I’m accepted you were condemned
I’m alive and well your spirit is within me
Because you died and rose again..

Refrain
Amazing love how can it be?
That you my king would die for me
Amazing love I know it’s true
It’s my joy to honor you
In all I do I honor you

Verse 2
I’m forgiven because you were forsaken
I’m accepted you were condemned
I’m alive and well your spirit is within me
Because you died and rose again..

Refrain
Amazing love how can it be?
That you my king would die for me
Amazing love I know it’s true
It’s my joy to honor you
In all I do I honor you...",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
10,Mighty to save,0,,Hillsong United,,"Verse 1
Everyone needs compassion
A love that's never failing
Let mercy fall on me
Everyone needs forgiveness
The kindness of a Saviour
The hope of nations

Refrain
Saviour he can move the mountains
My God is mighty to save
He is mighty to save
Forever author of salvation
He rose and conquered the grave
Jesus conquered the grave

Verse 2
So take me as you find me
All my fears and failures
Fill my life again
I give my life to follow
Everything i believe in
Now i surrender

Refrain
Saviour he can move the mountains
My God is mighty to save
He is mighty to save
Forever author of salvation
He rose and conquered the grave
Jesus conquered the grave (x2)

Verse 3
Shine your light and let the whole world see
We're singing for the glory of the risen king Jesus [x2]

Refrain
Saviour he can move the mountains
My God is mighty to save
He is mighty to save
Forever author of salvation
He rose and conquered the grave
Jesus conquered the grave (x2)

&Refrain
Shine your light and let the whole world see
We're singing for the glory of the risen king Jesus [x2]",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
11,Blessed be your name,0,,Matt Redman,,"Verse 1
Blessed Be Your Name
In the land that is plentiful
Where Your streams of abundance flow
Blessed be Your name

&Verse 2
Blessed Be Your name
When I'm found in the desert place
Though I walk through the wilderness
Blessed Be Your name

&Verse
Every blessing You pour out
I'll turn back to praise
When the darkness closes in, Lord
Still I will say

Refrain
Blessed be the name of the Lord
Blessed be Your name
Blessed be the name of the Lord
Blessed be Your glorious name

Verse 3
Blessed be Your name
When the sun's shining down on me
When the world's 'all as it should be'
Blessed be Your name

&Verse 4
Blessed be Your name
On the road marked with suffering
Though there's pain in the offering
Blessed be Your name

&Verse
Every blessing You pour out
I'll turn back to praise
When the darkness closes in, Lord
Still I will say

Refrain
Blessed be the name of the Lord
Blessed be Your name
Blessed be the name of the Lord
Blessed be Your glorious name (x2)",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
12,Revelation Song,0,,,,"Verse 1
Worthy is the, Lamb who was slain
Holy, Holy, is He
Sing a new song, to him who sits on
Heaven's mercy seat
[2X]

Refrain
 Holy, Holy, Holy
Is the Lord God Almighty
Who was, and is, and is to come
With all creation I sing
Praise to the King of Kings
You are my everything
And I will adore You

Verse 2
Clothed in rainbows, of living color
Flashes of lightning, rolls of thunder
Blessing and honor, strength and glory and power be
to You the only wise King

Refrain
 Holy, Holy, Holy
Is the Lord God Almighty
Who was, and is, and is to come
With all creation I sing
Praise to the King of Kings
You are my everything
And I will adore You

Verse 3
Filled with wonder, awestruck wonder
At the mention of your name
Jesus your name is power
Breath, and living water
Such a marvelous mystery
Yeah...

Refrain
Holy, Holy, Holy
Is the Lord God Almighty
Who was, and is, and is to come, yeah
With all creation I sing
Praise to the King of Kings
You are my everything
And I will adore You
[3X]",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
13,Amazing Grace (My Chains Are Gone),0,,CHRIS TOMLIN,,"Verse 1
Amazing grace
How sweet the sound
That saved a wretch like me
I once was lost, but now I'm found
Was blind, but now I see

Verse 2
'Twas grace that taught my heart to fear
And grace my fears relieved
How precious did that grace appear
The hour I first believed

Refrain
My chains are gone
I've been set free
My God, my Savior has ransomed me
And like a flood His mercy reigns
Unending love, amazing grace

Verse 3
The Lord has promised good to me
His word my hope secures
He will my shield and portion be
As long as life endures

Refrain
My chains are gone
I've been set free
My God, my Savior has ransomed me
And like a flood His mercy reigns
Unending love, amazing grace
[2x]

&Refrain
The earth shall soon dissolve like snow
The sun forbear to shine
But God, Who called me here below,
Will be forever mine.
Will be forever mine.
You are forever mine.",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,2,11:29:2013
14,Your Grace Is Enough,0,,CHRIS TOMLIN,,"Verse 1
Great is Your faithfulness oh God
You wrestle with the sinner's heart
You lead us by still waters and to mercy
And nothing can keep us apart

Verse 2
So remember Your people
Remember Your children
Remember Your promise
Oh God

Refrain
Your grace is enough
Your grace is enough
Your grace is enough for me

Verse 3
Great is Your love and justice God
You use the weak to lead the strong
You lead us in the song of Your salvation
And all Your people sing along

&Verse 4
So remember Your people
Remember Your children
Remember Your promise
Oh God

Refrain
Your grace is enough
Your grace is enough
Your grace is enough for me
[x2]

Verse 5
So remember Your people
Remember Your children
Remember Your promise
Oh God

&Verse 6
Your grace is enough
Your grace is enough
Your grace is enough for me

Refrain
Your grace is enough
Heaven reaching down to us
Your grace is enough for me
God I see your grace is enough
I'm covered in your love
Your grace is enough for me
For me",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
15,Open The Eyes Of My Heart,0,,MICHAEL W. SMITH,,"Verse 1
Open the eyes of my heart, Lord
Open the eyes of my heart
I want to see You
I want to see You
[2x]

Refrain
To see You high and lifted up
Shinin' in the light of Your glory
Pour out Your power and love
As we sing holy, holy, holy

Verse 2
Open the eyes of my heart, Lord
Open the eyes of my heart
I want to see You
I want to see You
[2x]

Refrain
To see You high and lifted up
Shinin' in the light of Your glory
Pour out Your power and love
As we sing holy, holy, holy

Verse
Holy, holy, holy
We cry holy, holy, holy
You are holy, holy, holy
I want to see you
[3x]",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,3,11:29:2013
16,How He Loves,0,,John Mark McMillan,DAVID CROWDER,"Verse 1
 He is jealous for me,
Loves like a hurricane, I am a tree,
Bending beneath the weight of His wind and mercy.
When all of a sudden,
I am unaware of these afflictions eclipsed by glory,
And I realize just how beautiful You are,
And how great Your affections are for me.

Refrain
And oh, how He loves us, oh,
Oh, how He loves us,
How He loves us all

Verse 2
плеHe is jealous for me,
Loves like a hurricane, I am a tree,
Bending beneath the weight of His wind and mercy.
When all of a sudden,
I am unaware of these afflictions eclipsed by glory,
And I realise just how beautiful You are,
And how great Your affections are for me.

Refrain
Yeah, He loves us,
Oh, how He loves us,
Oh, how He loves us,
Oh, how He loves.

Verse 3
And we are His portion and He is our prize,
Drawn to redemption by the grace in His eyes,
If his grace is an ocean, we're all sinking.
And Heaven meets earth like an unforeseen kiss,
And my heart turns violently inside of my chest,
I don't have time to maintain these regrets,
When I think about the way...

Refrain
He loves us,
Oh, how He loves us,
Oh, how He loves us,
Oh, how He loves.
Yeah, He loves us,
Oh, how He loves us,
Oh, how He loves us,
Oh, how He loves.",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,0,
17,Holy Is The Lord,0,,CHRIS TOMLIN,,"Verse 1
We stand and lift up our hands
For the joy of the Lord is our strength
We bow down and worship Him now
How great, how awesome is He
And together we sing

Refrain
Holy is the Lord God Almighty
The earth is filled with His glory
Holy is the Lord God Almighty
The earth is filled with His glory
The earth is filled with His glory

Verse 2
We stand and lift up our hands
For the joy of the Lord is our strength
We bow down and worship Him now
How great, how awesome is He
And together we sing
Everyone sing

Refrain
Holy is the Lord God Almighty
The earth is filled with His glory
Holy is the Lord God Almighty
The earth is filled with His glory
The earth is filled with His glory",,false,1,1,4294967295,"Arial,28,-1,5,50,0,0,0,0,0",,,,,,,,1,11:29:2013
